X1,Y1,C1,X2,Y2,C2,X3,Y3,C3,X4,Y4,C4,X5,Y5,C5,X6,Y6,C6,X7,Y7,C7,X8,Y8,C8,X9,Y9,C9,X10,Y10,C10,X11,Y11,C11,X12,Y12,C12,X13,Y13,C13,X14,Y14,C14,X15,Y15,C15,X16,Y16,C16,X17,Y17,C17,X18,Y18,C18,X19,Y19,C19,X20,Y20,C20,X21,Y21,C21,X22,Y22,C22,X23,Y23,C23,X24,Y24,C24,X25,Y25,C25,Sitting
541.281,88.7317,0.893398,547.108,149.366,0.879083,492.178,147.406,0.856725,472.648,231.676,0.817756,519.648,180.711,0.8585,605.933,151.32,0.816286,633.181,227.777,0.880836,617.576,276.753,0.850021,549.036,323.761,0.646414,509.79,321.858,0.668059,494.125,464.821,0.764459,474.64,615.615,0.759404,586.34,323.745,0.673973,597.984,468.758,0.660228,601.968,607.837,0.751799,529.449,82.7435,0.856768,554.929,76.9218,0.895244,515.725,86.6415,0.818664,572.624,80.8493,0.90122,605.884,635.301,0.708553,621.593,633.312,0.771765,590.189,619.642,0.510541,445.237,643.107,0.626688,441.259,635.245,0.685209,484.387,629.367,0.616355,True
541.218,90.6249,0.889596,545.168,149.337,0.885922,490.308,147.427,0.844965,468.764,229.742,0.818221,515.792,178.83,0.857121,605.839,149.437,0.848655,635.228,227.845,0.900143,635.22,298.285,0.859776,549.063,321.784,0.662677,507.987,321.761,0.686174,494.184,462.854,0.780009,476.499,613.686,0.773017,588.21,321.761,0.695604,594.117,462.921,0.677033,601.859,607.811,0.731316,527.55,82.7554,0.867557,554.885,76.9333,0.889953,511.908,84.7853,0.802978,572.62,82.702,0.899351,605.907,635.235,0.691881,621.612,633.27,0.747631,588.244,621.541,0.52781,445.223,643.084,0.593516,439.364,635.217,0.653379,486.346,625.484,0.61801,True
541.171,90.629,0.887805,545.165,149.357,0.886026,490.319,147.437,0.848181,468.751,229.756,0.80789,515.732,178.832,0.854547,605.84,149.482,0.827994,635.278,227.802,0.89923,639.182,302.201,0.861621,547.113,323.738,0.650335,507.936,323.742,0.671988,494.12,466.777,0.745033,476.468,613.729,0.761592,588.206,321.825,0.685718,592.142,464.85,0.71209,601.857,607.812,0.733709,527.466,82.7457,0.882975,554.816,76.9041,0.880698,511.834,84.8075,0.756341,572.567,78.8266,0.886514,605.848,635.277,0.717785,621.556,633.301,0.792016,588.23,621.539,0.520844,447.166,641.108,0.609077,441.283,633.361,0.674005,482.47,629.351,0.635256,True
541.23,90.5974,0.891756,550.979,149.357,0.881416,492.223,147.488,0.861549,472.629,231.657,0.81487,517.709,178.854,0.854579,607.86,149.472,0.809374,633.341,231.648,0.873372,631.304,302.201,0.838483,552.942,321.854,0.682541,509.874,321.816,0.682619,494.226,462.931,0.782223,476.481,611.778,0.763615,588.342,323.736,0.676863,596.109,466.805,0.684076,601.891,607.818,0.736466,527.529,82.7742,0.882139,554.865,74.9947,0.887703,513.815,86.6659,0.744802,572.628,78.8702,0.885909,605.846,635.293,0.704616,621.564,633.302,0.776668,588.272,621.514,0.514579,445.198,643.066,0.640882,439.321,635.222,0.6792,484.435,625.485,0.627206,True
543.219,90.6033,0.857442,552.993,149.357,0.91021,494.169,147.425,0.862843,474.551,231.652,0.835072,521.557,180.777,0.847602,611.717,149.476,0.80736,635.345,227.855,0.883354,633.387,302.148,0.870957,554.84,321.808,0.669697,511.808,321.792,0.639727,494.199,470.69,0.745087,474.629,615.628,0.769775,590.228,321.803,0.654487,599.939,466.745,0.71261,601.904,609.759,0.725433,533.367,82.7164,0.855558,556.834,76.9036,0.900461,519.643,84.8235,0.763218,576.454,80.8353,0.856308,605.858,635.338,0.713437,621.593,633.36,0.770095,588.234,621.542,0.522714,445.253,641.159,0.610426,441.256,635.184,0.674877,480.549,631.299,0.63441,True
552.91,88.7083,0.867216,555.014,149.395,0.924764,494.305,147.462,0.849352,476.613,229.729,0.895894,525.534,178.8,0.895777,617.594,149.5,0.835435,639.215,229.792,0.823265,637.186,302.221,0.890826,556.897,323.728,0.686774,519.664,323.729,0.636096,496.199,462.926,0.751256,474.604,613.698,0.743224,598.04,321.837,0.665848,601.844,462.913,0.756549,601.856,605.917,0.722106,539.196,82.7085,0.9006,558.928,74.9577,0.86437,523.548,84.8226,0.795386,586.193,80.787,0.878956,605.872,635.303,0.713949,621.567,633.312,0.776286,586.336,619.611,0.551187,445.252,641.161,0.625754,439.347,635.19,0.675991,484.38,627.417,0.625897,True
558.858,88.6247,0.895875,562.756,149.453,0.870451,507.863,147.502,0.85706,482.454,229.697,0.844666,529.497,178.846,0.860447,621.535,151.431,0.814802,647.051,235.6,0.818034,641.129,306.071,0.855353,562.782,323.777,0.651064,523.664,323.759,0.677934,504.016,462.827,0.752978,474.582,613.675,0.748015,601.973,323.754,0.682836,603.838,466.745,0.747922,601.942,609.768,0.731908,549.026,80.773,0.838542,572.488,74.963,0.91191,533.404,84.8235,0.778547,590.193,82.8163,0.896101,607.817,635.342,0.700129,623.517,635.188,0.794129,588.198,621.557,0.509306,451.108,639.19,0.617303,443.259,633.349,0.701996,480.54,627.434,0.610474,True
572.513,86.7741,0.939328,572.603,151.368,0.904135,515.737,147.504,0.818465,492.32,229.714,0.915117,541.202,180.708,0.899148,633.308,157.246,0.812357,654.862,239.511,0.854306,650.924,306.151,0.914359,572.586,325.695,0.69099,537.272,323.749,0.656913,507.877,462.882,0.775888,474.604,611.752,0.74595,611.768,325.72,0.651167,605.933,466.763,0.735361,601.975,607.859,0.74913,558.828,78.8864,0.869831,586.187,74.974,0.899181,545.127,86.6748,0.813085,603.886,84.7373,0.971649,605.895,635.317,0.696342,623.492,635.199,0.773832,588.259,621.554,0.515202,449.191,641.12,0.638119,443.225,633.366,0.701973,480.524,627.426,0.603112,True
596.093,86.7319,0.888714,596.066,153.308,0.827939,539.291,149.332,0.86615,511.811,231.683,0.837113,558.832,180.711,0.885128,652.885,161.185,0.809573,680.295,241.405,0.882638,674.441,306.14,0.837517,586.343,325.699,0.698495,549.042,321.761,0.661164,509.885,427.552,0.80866,531.398,586.326,0.707226,621.592,329.652,0.661177,615.662,470.693,0.713514,603.908,605.855,0.748876,586.189,78.8664,0.880062,605.835,74.918,0.886637,570.549,88.6306,0.885697,627.441,86.6248,0.903718,605.874,635.305,0.677795,623.519,635.187,0.776612,592.154,619.55,0.506287,511.829,633.319,0.445346,504.008,623.513,0.48739,543.237,592.201,0.510979,True
603.819,86.7472,0.947824,601.971,153.339,0.892634,543.19,147.39,0.835925,511.886,229.687,0.850866,562.748,180.786,0.847694,660.74,163.159,0.816982,684.247,243.361,0.875362,682.246,306.122,0.916823,586.325,323.777,0.724097,549.043,319.866,0.680563,513.783,427.564,0.772079,537.301,586.281,0.740712,621.598,329.639,0.663802,617.584,470.71,0.74476,603.891,607.805,0.759274,588.347,80.7705,0.878766,617.521,76.8792,0.892288,574.539,88.6363,0.834895,635.2,86.7522,0.959368,609.785,635.338,0.683905,625.485,633.37,0.780766,590.205,619.63,0.556418,545.154,619.609,0.637119,529.479,619.55,0.636951,541.257,590.195,0.498651,True
